在 144 小时内，总共生成了 30 个零件 (包括 1 个初始零件)。,
  ID: P1, 类型: ('High', 'Long'), 到达时间: 0.00h, 长: 41.41mm, 宽: 87.62mm, 高: 101.53mm, 体积: 54894.38mm3, 支撑: 2150.56mm3, 交付期限: 23.03h, 价格: 397.21CNY, 
  ID: P2, 类型: ('Low', 'Long'), 到达时间: 6.07h, 长: 47.28mm, 宽: 71.03mm, 高: 72.45mm, 体积: 19234.19mm3, 支撑: 2858.04mm3, 交付期限: 22.29h, 价格: 259.42CNY, 
  ID: P3, 类型: ('Low', 'Small'), 到达时间: 18.47h, 长: 43.25mm, 宽: 55.06mm, 高: 98.90mm, 体积: 24388.23mm3, 支撑: 6489.90mm3, 交付期限: 39.49h, 价格: 237.38CNY, 
  ID: P4, 类型: ('Low', 'Large'), 到达时间: 24.89h, 长: 98.02mm, 宽: 70.19mm, 高: 95.49mm, 体积: 73136.11mm3, 支撑: 3918.43mm3, 交付期限: 47.98h, 价格: 468.64CNY, 
  ID: P5, 类型: ('High', 'Long'), 到达时间: 25.82h, 长: 78.54mm, 宽: 61.32mm, 高: 102.47mm, 体积: 56163.50mm3, 支撑: 3531.96mm3, 交付期限: 49.12h, 价格: 374.20CNY, 
  ID: P6, 类型: ('Low', 'Long'), 到达时间: 32.58h, 长: 51.77mm, 宽: 75.56mm, 高: 99.28mm, 体积: 31524.54mm3, 支撑: 3130.37mm3, 交付期限: 53.96h, 价格: 310.74CNY, 
  ID: P7, 类型: ('High', 'Long'), 到达时间: 32.70h, 长: 72.04mm, 宽: 49.94mm, 高: 104.86mm, 体积: 31352.98mm3, 支撑: 1832.67mm3, 交付期限: 54.97h, 价格: 299.02CNY, 
  ID: P8, 类型: ('High', 'Small'), 到达时间: 43.17h, 长: 56.22mm, 宽: 66.49mm, 高: 104.88mm, 体积: 30766.63mm3, 支撑: 5225.95mm3, 交付期限: 65.50h, 价格: 286.63CNY, 
  ID: P9, 类型: ('Low', 'Large'), 到达时间: 43.86h, 长: 68.11mm, 宽: 71.93mm, 高: 70.68mm, 体积: 32306.55mm3, 支撑: 3655.96mm3, 交付期限: 60.54h, 价格: 290.45CNY, 
  ID: P10, 类型: ('High', 'Long'), 到达时间: 50.17h, 长: 82.93mm, 宽: 47.06mm, 高: 102.01mm, 体积: 37876.48mm3, 支撑: 6279.27mm3, 交付期限: 72.45h, 价格: 354.66CNY, 
  ID: P11, 类型: ('Low', 'Large'), 到达时间: 50.94h, 长: 75.48mm, 宽: 67.26mm, 高: 97.83mm, 体积: 59515.76mm3, 支撑: 14414.89mm3, 交付期限: 73.95h, 价格: 390.48CNY, 
  ID: P12, 类型: ('Low', 'Large'), 到达时间: 55.29h, 长: 84.25mm, 宽: 94.41mm, 高: 88.08mm, 体积: 59628.19mm3, 支撑: 3391.00mm3, 交付期限: 76.37h, 价格: 423.98CNY, 
  ID: P13, 类型: ('High', 'Long'), 到达时间: 57.50h, 长: 93.70mm, 宽: 65.36mm, 高: 100.58mm, 体积: 31581.95mm3, 支撑: 2682.40mm3, 交付期限: 79.09h, 价格: 367.91CNY, 
