Within 144 hours, totally generated 32 parts (including 1 initial parts).,
  ID: P1, Type: ('High', 'Long'), Arrival time: 0.00h, Length: 41.41mm, Width: 87.62mm, Height: 101.53mm, Volume: 54894.38mm3, Support: 2150.56mm3, Due: 23.03h, Price: 397.21CNY, 
  ID: P2, Type: ('Low', 'Long'), Arrival time: 6.07h, Length: 47.28mm, Width: 71.03mm, Height: 72.45mm, Volume: 19234.19mm3, Support: 2858.04mm3, Due: 22.29h, Price: 259.42CNY, 
  ID: P3, Type: ('Low', 'Large'), Arrival time: 16.59h, Length: 76.58mm, Width: 88.39mm, Height: 98.90mm, Volume: 69331.03mm3, Support: 18449.54mm3, Due: 40.44h, Price: 460.05CNY, 
  ID: P4, Type: ('High', 'Long'), Arrival time: 25.82h, Length: 70.19mm, Width: 53.77mm, Height: 128.82mm, Volume: 32996.41mm3, Support: 734.27mm3, Due: 52.14h, Price: 303.90CNY, 
  ID: P5, Type: ('Low', 'Large'), Arrival time: 29.24h, Length: 78.54mm, Width: 94.65mm, Height: 99.86mm, Volume: 84489.27mm3, Support: 5313.29mm3, Due: 53.73h, Price: 486.99CNY, 
  ID: P6, Type: ('Low', 'Long'), Arrival time: 32.58h, Length: 51.77mm, Width: 75.56mm, Height: 99.28mm, Volume: 31524.54mm3, Support: 3130.37mm3, Due: 53.96h, Price: 310.74CNY, 
  ID: P7, Type: ('High', 'Long'), Arrival time: 32.70h, Length: 72.04mm, Width: 49.94mm, Height: 104.86mm, Volume: 31352.98mm3, Support: 1832.67mm3, Due: 54.97h, Price: 299.02CNY, 
  ID: P8, Type: ('Low', 'Large'), Arrival time: 33.96h, Length: 89.56mm, Width: 99.82mm, Height: 71.54mm, Volume: 50191.76mm3, Support: 8525.45mm3, Due: 51.91h, Price: 421.47CNY, 
  ID: P9, Type: ('Low', 'Large'), Arrival time: 36.86h, Length: 68.11mm, Width: 71.93mm, Height: 70.68mm, Volume: 32306.55mm3, Support: 3655.96mm3, Due: 53.53h, Price: 290.45CNY, 
  ID: P10, Type: ('Low', 'Small'), Arrival time: 36.95h, Length: 54.16mm, Width: 49.59mm, Height: 68.67mm, Volume: 16817.20mm3, Support: 2278.07mm3, Due: 52.39h, Price: 201.38CNY, 
  ID: P11, Type: ('High', 'Small'), Arrival time: 42.29h, Length: 64.49mm, Width: 42.15mm, Height: 118.42mm, Volume: 16663.81mm3, Support: 3491.46mm3, Due: 66.05h, Price: 252.13CNY, 
  ID: P12, Type: ('Low', 'Large'), Arrival time: 44.74h, Length: 88.08mm, Width: 84.25mm, Height: 93.58mm, Volume: 92519.96mm3, Support: 9745.39mm3, Due: 68.74h, Price: 488.56CNY, 
  ID: P13, Type: ('High', 'Large'), Arrival time: 46.01h, Length: 67.24mm, Width: 99.36mm, Height: 106.32mm, Volume: 93125.19mm3, Support: 26842.27mm3, Due: 72.65h, Price: 564.94CNY, 
  ID: P14, Type: ('High', 'Long'), Arrival time: 50.17h, Length: 40.91mm, Width: 66.76mm, Height: 100.42mm, Volume: 23284.40mm3, Support: 3072.25mm3, Due: 71.29h, Price: 265.94CNY, 
