Within 144 hours, totally generated 41 parts (including 1 initial parts).,
  ID: P1, Type: ('High', 'Long'), Arrival time: 0.00h, Length: 91.07mm, Width: 53.29mm, Height: 112.48mm, Volume: 35809.84mm3, Support: 1675.84mm3, Due: 23.78h, Price: 372.61CNY, 
  ID: P2, Type: ('High', 'Small'), Arrival time: 5.59h, Length: 62.21mm, Width: 53.37mm, Height: 101.94mm, Volume: 40884.04mm3, Support: 252.47mm3, Due: 27.86h, Price: 283.72CNY, 
  ID: P3, Type: ('High', 'Long'), Arrival time: 31.61h, Length: 73.74mm, Width: 39.39mm, Height: 132.33mm, Volume: 26272.39mm3, Support: 2397.95mm3, Due: 58.19h, Price: 306.16CNY, 
  ID: P4, Type: ('High', 'Large'), Arrival time: 34.77h, Length: 81.06mm, Width: 76.37mm, Height: 117.49mm, Volume: 80878.85mm3, Support: 3384.63mm3, Due: 61.94h, Price: 440.77CNY, 
  ID: P5, Type: ('Low', 'Long'), Arrival time: 35.25h, Length: 48.54mm, Width: 92.84mm, Height: 76.40mm, Volume: 24088.44mm3, Support: 3716.13mm3, Due: 52.42h, Price: 338.86CNY, 
  ID: P6, Type: ('Low', 'Large'), Arrival time: 43.28h, Length: 68.22mm, Width: 86.92mm, Height: 86.41mm, Volume: 34354.85mm3, Support: 670.45mm3, Due: 62.61h, Price: 341.56CNY, 
  ID: P7, Type: ('High', 'Long'), Arrival time: 49.32h, Length: 93.61mm, Width: 43.49mm, Height: 131.63mm, Volume: 32026.85mm3, Support: 6574.15mm3, Due: 76.22h, Price: 392.27CNY, 
  ID: P8, Type: ('High', 'Small'), Arrival time: 51.54h, Length: 37.40mm, Width: 49.84mm, Height: 114.67mm, Volume: 11422.77mm3, Support: 3116.09mm3, Due: 74.37h, Price: 191.54CNY, 
  ID: P9, Type: ('Low', 'Large'), Arrival time: 52.96h, Length: 88.75mm, Width: 77.06mm, Height: 75.29mm, Volume: 52525.01mm3, Support: 8614.79mm3, Due: 71.66h, Price: 395.21CNY, 
  ID: P10, Type: ('High', 'Long'), Arrival time: 55.27h, Length: 92.50mm, Width: 64.65mm, Height: 106.16mm, Volume: 88556.33mm3, Support: 15884.35mm3, Due: 81.32h, Price: 512.32CNY, 
  ID: P11, Type: ('Low', 'Small'), Arrival time: 58.40h, Length: 36.28mm, Width: 39.87mm, Height: 97.40mm, Volume: 7681.14mm3, Support: 749.67mm3, Due: 78.08h, Price: 142.95CNY, 
