Within 144 hours, totally generated 34 parts (including 1 initial parts).,
  ID: P1, Type: ('High', 'Small'), Arrival time: 0.00h, Length: 46.54mm, Width: 34.94mm, Height: 118.46mm, Volume: 19757.48mm3, Support: 907.10mm3, Due: 23.87h, Price: 195.15CNY, 
  ID: P2, Type: ('High', 'Small'), Arrival time: 1.81h, Length: 41.87mm, Width: 51.44mm, Height: 116.67mm, Volume: 26338.37mm3, Support: 1784.07mm3, Due: 25.77h, Price: 226.14CNY, 
  ID: P3, Type: ('High', 'Long'), Arrival time: 11.61h, Length: 59.11mm, Width: 89.40mm, Height: 102.97mm, Volume: 74129.52mm3, Support: 10092.99mm3, Due: 36.17h, Price: 459.34CNY, 
  ID: P4, Type: ('Low', 'Long'), Arrival time: 12.54h, Length: 62.48mm, Width: 85.93mm, Height: 85.65mm, Volume: 66460.72mm3, Support: 17780.64mm3, Due: 34.00h, Price: 438.60CNY, 
  ID: P5, Type: ('Low', 'Small'), Arrival time: 31.04h, Length: 63.01mm, Width: 39.78mm, Height: 89.40mm, Volume: 29189.32mm3, Support: 205.00mm3, Due: 50.57h, Price: 257.15CNY, 
  ID: P6, Type: ('High', 'Small'), Arrival time: 33.91h, Length: 55.64mm, Width: 58.07mm, Height: 130.68mm, Volume: 61892.84mm3, Support: 7423.93mm3, Due: 62.34h, Price: 337.95CNY, 
  ID: P7, Type: ('High', 'Large'), Arrival time: 38.51h, Length: 83.04mm, Width: 76.52mm, Height: 110.49mm, Volume: 73113.83mm3, Support: 6428.74mm3, Due: 64.16h, Price: 433.43CNY, 
  ID: P8, Type: ('High', 'Small'), Arrival time: 45.68h, Length: 56.65mm, Width: 44.90mm, Height: 107.86mm, Volume: 26306.15mm3, Support: 4754.12mm3, Due: 68.25h, Price: 245.95CNY, 
  ID: P9, Type: ('High', 'Small'), Arrival time: 46.90h, Length: 46.72mm, Width: 42.06mm, Height: 103.67mm, Volume: 22383.75mm3, Support: 6111.78mm3, Due: 68.60h, Price: 207.40CNY, 
  ID: P10, Type: ('Low', 'Long'), Arrival time: 49.43h, Length: 89.58mm, Width: 51.94mm, Height: 72.70mm, Volume: 48767.40mm3, Support: 9815.06mm3, Due: 67.53h, Price: 390.80CNY, 
  ID: P11, Type: ('Low', 'Large'), Arrival time: 51.00h, Length: 80.17mm, Width: 84.60mm, Height: 86.82mm, Volume: 86432.01mm3, Support: 1419.14mm3, Due: 73.31h, Price: 445.70CNY, 
  ID: P12, Type: ('Low', 'Large'), Arrival time: 54.80h, Length: 94.90mm, Width: 98.43mm, Height: 97.08mm, Volume: 45578.68mm3, Support: 12549.86mm3, Due: 76.86h, Price: 429.36CNY, 
  ID: P13, Type: ('Low', 'Long'), Arrival time: 68.79h, Length: 91.23mm, Width: 64.54mm, Height: 94.12mm, Volume: 41569.24mm3, Support: 12238.26mm3, Due: 90.13h, Price: 396.18CNY, 
  ID: P14, Type: ('Low', 'Large'), Arrival time: 69.95h, Length: 82.91mm, Width: 86.68mm, Height: 85.26mm, Volume: 67568.60mm3, Support: 12301.30mm3, Due: 91.26h, Price: 432.55CNY, 
  ID: P15, Type: ('High', 'Long'), Arrival time: 70.96h, Length: 78.11mm, Width: 39.52mm, Height: 132.31mm, Volume: 56235.15mm3, Support: 13494.52mm3, Due: 99.51h, Price: 405.11CNY, 
  ID: P16, Type: ('High', 'Small'), Arrival time: 72.60h, Length: 58.00mm, Width: 57.94mm, Height: 105.36mm, Volume: 21373.24mm3, Support: 986.94mm3, Due: 94.38h, Price: 231.85CNY, 
  ID: P17, Type: ('High', 'Large'), Arrival time: 83.35h, Length: 82.76mm, Width: 86.96mm, Height: 100.64mm, Volume: 86098.51mm3, Support: 2452.83mm3, Due: 107.97h, Price: 460.97CNY, 
  ID: P18, Type: ('High', 'Large'), Arrival time: 85.52h, Length: 67.35mm, Width: 85.03mm, Height: 130.59mm, Volume: 60964.04mm3, Support: 8166.82mm3, Due: 113.90h, Price: 427.13CNY, 
  ID: P19, Type: ('Low', 'Small'), Arrival time: 98.29h, Length: 65.27mm, Width: 35.42mm, Height: 85.05mm, Volume: 12297.82mm3, Support: 1574.91mm3, Due: 116.19h, Price: 229.64CNY, 
  ID: P20, Type: ('Low', 'Small'), Arrival time: 100.77h, Length: 41.29mm, Width: 46.86mm, Height: 70.94mm, Volume: 10073.59mm3, Support: 1199.58mm3, Due: 116.19h, Price: 163.93CNY, 
  ID: P21, Type: ('Low', 'Large'), Arrival time: 101.08h, Length: 89.72mm, Width: 80.30mm, Height: 91.80mm, Volume: 53703.48mm3, Support: 14905.99mm3, Due: 122.78h, Price: 420.97CNY, 
